Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,20.0,19,MEDIUM,1.0,98.123,1.0384924750756725,28.997,41.569,27.557,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,21.0,20,MEDIUM,1.0,98.172,1.0390110704231315,28.989,41.72,27.463,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,22.0,21,MEDIUM,1.0,98.192,1.0392227419935227,28.989,41.704,27.499,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,23.0,22,MEDIUM,1.0,98.231,1.0396355015557859,29.016,41.711,27.504,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,24.0,23,MEDIUM,1.0,98.399,1.0414135427470737,29.056,41.782,27.561,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,25.0,24,MEDIUM,1.0,98.641,1.0439747687488095,29.062,41.99,27.589,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,26.0,25,MEDIUM,1.0,98.575,1.0432762525665178,29.106,41.818,27.651,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,27.0,26,MEDIUM,1.0,98.927,1.047001672205406,29.264,41.975,27.688,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,28.0,27,MEDIUM,1.0,99.265,1.0505789217450203,29.236,42.261,27.768,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,31.0,1,HARD,2.0,96.688,1.023305039900091,28.61,40.86,27.218,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,32.0,2,HARD,2.0,96.824,1.0247444065787523,28.613,40.928,27.283,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,33.0,3,HARD,2.0,97.022,1.026839955125627,28.775,41.013,27.234,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,34.0,4,HARD,2.0,96.871,1.025241834769172,28.699,40.998,27.174,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,35.0,5,HARD,2.0,97.1,1.0276654742501534,28.703,41.14,27.257,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,36.0,6,HARD,2.0,96.968,1.0262684418855703,28.653,41.062,27.253,3.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,37.0,7,HARD,2.0,96.984,1.0264377791418833,28.691,41.058,27.235,3.0,1,Street
